id,color_image,thermal_image,hotspot_id,hotspot_type,species_id,species_confidence,fog,thermal_x,thermal_y,color_left,color_top,color_right,color_bottom,updated_left,updated_top,updated_right,updated_bottom,updated,status
-1,CHESS2016_N94S_FL12_C__20160421215902.811GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421215902.811GMT_THERM-16BIT.PNG,79118.0,Animal,Ringed Seal,100%,No,565,109,5156,292,5668,804,5391,534,5446,579,True,none
-1,CHESS2016_N94S_FL12_C__20160421220254.116GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421220254.116GMT_THERM-16BIT.PNG,79120.0,Animal,Ringed Seal,100%,No,514,212,4766,1616,5278,2128,5017,1819,5075,1884,True,none
-1,CHESS2016_N94S_FL12_C__20160421220256.381GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421220256.381GMT_THERM-16BIT.PNG,79121.0,Animal,Ringed Seal,100%,No,487,286,4607,1456,5119,1968,4839,1733,4894,1773,True,none
-1,CHESS2016_N94S_FL12_C__20160421220933.388GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421220933.388GMT_THERM-16BIT.PNG,79123.0,Animal,Ringed Seal,100%,No,415,193,3866,455,4378,967,4092,681,4167,733,True,none
-1,CHESS2016_N94S_FL12_C__20160421221859.662GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421221859.662GMT_THERM-16BIT.PNG,79532.0,Animal,Ringed Seal,100%,No,133,152,455,179,967,691,718,415,775,478,True,none
-1,CHESS2016_N94S_FL12_C__20160421221907.183GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421221907.994GMT_THERM-16BIT.PNG,79534.0,Animal,Ringed Seal,100%,No,624,474,5361,1195,5873,1707,5587,1463,5654,1505,True,none
-1,CHESS2016_N94S_FL12_C__20160421221912.417GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421221912.417GMT_THERM-16BIT.PNG,79535.0,Animal,Ringed Seal,100%,No,502,293,4509,2189,5021,2701,4744,2435,4807,2471,True,none
-1,CHESS2016_N94S_FL12_C__20160421221916.440GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421221915.763GMT_THERM-16BIT.PNG,79536.0,Animal,Ringed Seal,100%,No,189,10,1442,2226,1954,2738,1681,2458,1735,2513,True,none
-1,CHESS2016_N94S_FL12_C__20160421222117.265GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421222117.265GMT_THERM-16BIT.PNG,79540.0,Animal,Ringed Seal,100%,No,606,222,5449,1079,5961,1591,5694,1344,5750,1406,True,none
-1,CHESS2016_N94S_FL12_C__20160421222155.691GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421222155.691GMT_THERM-16BIT.PNG,79541.0,Animal,Ringed Seal,100%,No,597,289,5507,2153,6019,2665,5734,2392,5811,2433,True,none
-1,CHESS2016_N94S_FL12_C__20160421222201.394GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421222201.394GMT_THERM-16BIT.PNG,79542.0,Animal,Ringed Seal,Likely,No,109,243,211,1345,723,1857,482,1558,517,1629,True,none
-1,CHESS2016_N94S_FL12_C__20160421222201.394GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421222201.394GMT_THERM-16BIT.PNG,79543.0,Animal,Ringed Seal,100%,No,316,130,2401,124,2913,636,2640,373,2708,401,True,none
-1,CHESS2016_N94S_FL12_C__20160421222201.394GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421222201.394GMT_THERM-16BIT.PNG,79544.0,Animal,Bearded Seal,Guess,No,281,125,2044,76,2556,588,2276,312,2335,374,True,none
-1,CHESS2016_N94S_FL12_C__20160421222201.394GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421222201.394GMT_THERM-16BIT.PNG,79546.0,Animal,Ringed Seal,100%,No,475,268,4084,1558,4596,2070,4331,1815,4401,1847,True,none
-1,CHESS2016_N94S_FL12_C__20160421222201.394GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421222201.394GMT_THERM-16BIT.PNG,79547.0,Animal,Ringed Seal,Guess,No,311,120,2359,25,2871,537,2594,274,2647,300,True,none
-1,CHESS2016_N94S_FL12_C__20160421222201.394GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421222201.394GMT_THERM-16BIT.PNG,79548.0,Animal,Bearded Seal,Guess,No,74,287,-155,1807,357,2319,66,2060,121,2098,True,none
-1,CHESS2016_N94S_FL12_C__20160421222202.161GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421222202.161GMT_THERM-16BIT.PNG,79549.0,Animal,Ringed Seal,Guess,No,524,261,4669,1769,5181,2281,4898,2015,4962,2076,True,none
-1,CHESS2016_N94S_FL12_C__20160421222202.161GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421222202.161GMT_THERM-16BIT.PNG,79550.0,Animal,Ringed Seal,Likely,No,623,267,5734,1839,6246,2351,5967,2071,6028,2122,True,none
-1,CHESS2016_N94S_FL12_C__20160421222202.161GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421222202.161GMT_THERM-16BIT.PNG,79551.0,Animal,Ringed Seal,Likely,No,508,260,4499,1759,5011,2271,4728,2018,4794,2046,True,none
-1,CHESS2016_N94S_FL12_C__20160421222202.161GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421222202.161GMT_THERM-16BIT.PNG,79552.0,Animal,Ringed Seal,100%,No,624,255,5747,1706,6259,2218,5974,1948,6043,1982,True,none
-1,CHESS2016_N94S_FL12_C__20160421222202.161GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421222202.161GMT_THERM-16BIT.PNG,79553.0,Animal,Ringed Seal,Likely,No,609,271,5580,1872,6092,2384,5812,2121,5884,2160,True,none
-1,CHESS2016_N94S_FL12_C__20160421222202.161GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421222202.161GMT_THERM-16BIT.PNG,79554.0,Animal,Ringed Seal,Guess,No,592,261,5396,1768,5908,2280,5628,2012,5692,2060,True,none
-1,CHESS2016_N94S_FL12_C__20160421222202.161GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421222202.161GMT_THERM-16BIT.PNG,79555.0,Animal,Ringed Seal,Likely,No,615,257,5652,1720,6164,2232,5880,1967,5943,2001,True,none
-1,CHESS2016_N94S_FL12_C__20160421222202.161GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421222202.161GMT_THERM-16BIT.PNG,79556.0,Animal,Ringed Seal,Likely,No,554,258,4994,1754,5506,2266,5216,1984,5271,2032,True,none
-1,CHESS2016_N94S_FL12_C__20160421222202.161GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421222202.161GMT_THERM-16BIT.PNG,79557.0,Animal,Ringed Seal,Likely,No,578,261,5244,1774,5756,2286,5488,1991,5524,2069,True,none
-1,CHESS2016_N94S_FL12_C__20160421222202.161GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421222202.161GMT_THERM-16BIT.PNG,79558.0,Animal,Ringed Seal,Likely,No,517,268,4603,1858,5115,2370,4829,2098,4893,2133,True,none
-1,CHESS2016_N94S_FL12_C__20160421222214.771GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421222214.771GMT_THERM-16BIT.PNG,79559.0,Animal,Ringed Seal,100%,No,137,163,585,1108,1097,1620,850,1349,906,1401,True,none
-1,CHESS2016_N94S_FL12_C__20160421222453.959GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421222452.926GMT_THERM-16BIT.PNG,79560.0,Animal,Ringed Seal,100%,No,551,23,5782,3402,6294,3914,6003,3669,6071,3710,True,none
-1,CHESS2016_N94S_FL12_C__20160421222515.666GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421222515.666GMT_THERM-16BIT.PNG,79561.0,Animal,Ringed Seal,100%,No,115,367,295,2705,807,3217,527,2925,570,2990,True,none
-1,CHESS2016_N94S_FL12_C__20160421222541.642GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421222541.642GMT_THERM-16BIT.PNG,79562.0,Animal,Ringed Seal,100%,No,378,121,3155,571,3667,1083,3370,794,3427,853,True,none
-1,CHESS2016_N94S_FL12_C__20160421222621.220GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421222621.220GMT_THERM-16BIT.PNG,79564.0,Animal,Ringed Seal,100%,No,91,399,92,3503,604,4015,310,3731,387,3789,True,none
-1,CHESS2016_N94S_FL12_C__20160421222950.889GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421222950.889GMT_THERM-16BIT.PNG,79565.0,Animal,Ringed Seal,100%,No,210,69,1558,-87,2070,425,1781,188,1815,244,True,none
-1,CHESS2016_N94S_FL12_C__20160421223011.039GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421223011.039GMT_THERM-16BIT.PNG,79566.0,Animal,Ringed Seal,100%,No,89,64,237,-39,749,473,484,221,533,295,True,none
-1,CHESS2016_N94S_FL12_C__20160421223050.785GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421223050.785GMT_THERM-16BIT.PNG,79567.0,Animal,Ringed Seal,Likely,No,275,106,2306,290,2818,802,2541,527,2576,581,True,none
-1,CHESS2016_N94S_FL12_C__20160421223229.614GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421223229.614GMT_THERM-16BIT.PNG,79569.0,Animal,Ringed Seal,100%,No,130,392,818,2923,1330,3435,1025,3158,1101,3193,True,none
-1,CHESS2016_N94S_FL12_C__20160421223405.119GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421223405.119GMT_THERM-16BIT.PNG,79570.0,Animal,Bearded Seal,100%,No,441,325,3983,2426,4495,2938,4171,2649,4267,2734,True,none
-1,CHESS2016_N94S_FL12_C__20160421223505.903GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421223505.903GMT_THERM-16BIT.PNG,79571.0,Animal,Ringed Seal,100%,No,168,318,1065,2676,1577,3188,1332,2895,1375,2970,True,none
-1,CHESS2016_N94S_FL12_C__20160421224213.804GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421224213.804GMT_THERM-16BIT.PNG,79572.0,Animal,Ringed Seal,100%,No,590,192,5608,1079,6120,1591,5830,1313,5869,1398,True,none
-1,CHESS2016_N94S_FL12_C__20160421224254.494GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421224253.984GMT_THERM-16BIT.PNG,79574.0,Animal,Ringed Seal,100%,No,343,18,2792,1355,3304,1867,3005,1571,3077,1619,True,none
-1,CHESS2016_N94S_FL12_C__20160421224414.212GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421224414.212GMT_THERM-16BIT.PNG,79576.0,Animal,Ringed Seal,100%,No,376,322,3300,2574,3812,3086,3570,2819,3612,2889,True,none
-1,CHESS2016_N94S_FL12_C__20160421225510.068GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421225510.068GMT_THERM-16BIT.PNG,79577.0,Duplicate,Ringed Seal,100%,No,467,81,4215,324,4727,836,4462,560,4516,617,True,none
-1,CHESS2016_N94S_FL12_C__20160421225510.955GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421225510.955GMT_THERM-16BIT.PNG,79578.0,Animal,Ringed Seal,100%,No,428,432,3939,3431,4451,3943,4164,3658,4219,3717,True,none
-1,CHESS2016_N94S_FL12_C__20160421225551.920GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421225551.920GMT_THERM-16BIT.PNG,79579.0,Duplicate,Ringed Seal,100%,No,380,37,3344,-140,3856,372,3537,79,3583,167,True,none
-1,CHESS2016_N94S_FL12_C__20160421225552.640GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421225552.640GMT_THERM-16BIT.PNG,79580.0,Animal,Ringed Seal,100%,No,349,323,3039,2923,3551,3435,3266,3173,3317,3255,True,none
-1,CHESS2016_N94S_FL12_C__20160421225637.851GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421225637.851GMT_THERM-16BIT.PNG,79581.0,Animal,Ringed Seal,100%,No,424,240,3808,1689,4320,2201,4028,1923,4098,1976,True,none
-1,CHESS2016_N94S_FL12_C__20160421225731.189GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421225731.189GMT_THERM-16BIT.PNG,79583.0,Animal,Ringed Seal,100%,No,409,312,3707,2487,4219,2999,3915,2721,3982,2753,True,none
-1,CHESS2016_N94S_FL12_C__20160421225732.038GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421225732.038GMT_THERM-16BIT.PNG,79584.0,Animal,Ringed Seal,100%,No,564,353,5405,2400,5917,2912,5636,2625,5674,2699,True,none
-1,CHESS2016_N94S_FL12_C__20160421225942.926GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421225942.926GMT_THERM-16BIT.PNG,79585.0,Animal,Ringed Seal,100%,No,452,292,4011,2023,4523,2535,4243,2301,4295,2333,True,none
-1,CHESS2016_N94S_FL12_C__20160421225945.384GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421225945.384GMT_THERM-16BIT.PNG,79586.0,Animal,Ringed Seal,100%,No,375,227,3416,1355,3928,1867,3657,1561,3702,1622,True,none
-1,CHESS2016_N94S_FL12_C__20160421225947.441GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421225946.738GMT_THERM-16BIT.PNG,79587.0,Animal,Ringed Seal,100%,No,268,55,2110,2342,2622,2854,2344,2632,2383,2673,True,none
-1,CHESS2016_N94S_FL12_C__20160421225957.235GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421225957.235GMT_THERM-16BIT.PNG,79588.0,Animal,Ringed Seal,100%,No,158,108,905,194,1417,706,1142,413,1183,453,True,none
-1,CHESS2016_N94S_FL12_C__20160421230208.385GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421230208.385GMT_THERM-16BIT.PNG,79590.0,Animal,Ringed Seal,100%,No,427,168,3775,709,4287,1221,4005,940,4053,1030,True,none
-1,CHESS2016_N94S_FL12_C__20160421230208.385GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421230208.385GMT_THERM-16BIT.PNG,79591.0,Animal,Ringed Seal,Likely,No,433,161,3779,673,4291,1185,4071,888,4130,923,True,none
-1,CHESS2016_N94S_FL12_C__20160421230342.257GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421230342.257GMT_THERM-16BIT.PNG,79592.0,Duplicate,Ringed Seal,100%,No,549,76,5042,-97,5554,415,5252,151,5330,185,True,none
-1,CHESS2016_N94S_FL12_C__20160421230342.981GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421230342.981GMT_THERM-16BIT.PNG,79593.0,Animal,Ringed Seal,100%,No,562,371,5245,3257,5757,3769,5449,3469,5528,3508,True,none
-1,CHESS2016_N94S_FL12_C__20160421230450.458GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421230450.458GMT_THERM-16BIT.PNG,79595.0,Animal,Ringed Seal,100%,No,619,380,5826,3010,6338,3522,6066,3272,6139,3311,True,none
-1,CHESS2016_N94S_FL12_C__20160421231238.120GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421231238.120GMT_THERM-16BIT.PNG,79596.0,Animal,Bearded Seal,Guess,No,395,172,3571,1123,4083,1635,3797,1347,3848,1419,True,none
-1,CHESS2016_N94S_FL12_C__20160421231258.894GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421231258.894GMT_THERM-16BIT.PNG,79598.0,Animal,Bearded Seal,100%,No,241,248,1935,1703,2447,2215,2169,1915,2227,2052,True,none
-1,CHESS2016_N94S_FL12_C__20160421231258.894GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421231258.894GMT_THERM-16BIT.PNG,79599.0,Animal,Bearded Seal,100%,No,377,369,3416,2952,3928,3464,3635,3174,3678,3281,True,none
-1,CHESS2016_N94S_FL12_C__20160421231258.894GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421231258.894GMT_THERM-16BIT.PNG,79600.0,Animal,Bearded Seal,100%,No,398,336,3619,2603,4131,3115,3857,2821,3900,2920,True,none
-1,CHESS2016_N94S_FL12_C__20160421231526.530GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421231526.530GMT_THERM-16BIT.PNG,79601.0,Animal,Ringed Seal,100%,No,509,275,4795,2052,5307,2564,5008,2294,5082,2329,True,none
-1,CHESS2016_N94S_FL12_C__20160421231739.529GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421231739.529GMT_THERM-16BIT.PNG,79603.0,Animal,Ringed Seal,100%,No,45,431,-184,3794,328,4306,6,4039,82,4075,True,none
-1,CHESS2016_N94S_FL12_C__20160421232258.160GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421232258.160GMT_THERM-16BIT.PNG,79604.0,Animal,Ringed Seal,100%,No,363,199,3053,1282,3565,1794,3277,1538,3313,1594,True,none
-1,CHESS2016_N94S_FL12_C__20160421232725.390GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421232725.390GMT_THERM-16BIT.PNG,79605.0,Animal,Ringed Seal,100%,No,517,262,4679,2110,5191,2622,4914,2363,4982,2402,True,none
-1,CHESS2016_N94S_FL12_C__20160421232828.876GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421232828.876GMT_THERM-16BIT.PNG,79606.0,Animal,Ringed Seal,100%,No,388,219,3344,1602,3856,2114,3550,1864,3591,1939,True,none
-1,CHESS2016_N94S_FL12_C__20160421233346.178GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421233346.178GMT_THERM-16BIT.PNG,79607.0,Animal,Ringed Seal,Likely,No,547,111,4882,-155,5394,357,5117,79,5168,126,True,none
-1,CHESS2016_N94S_FL12_C__20160421233356.324GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421233355.266GMT_THERM-16BIT.PNG,79608.0,Animal,Bearded Seal,Guess,No,615,13,6247,3547,6759,4059,6538,3681,6577,3779,True,off_edge
-1,CHESS2016_N94S_FL12_C__20160421233508.105GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421233508.105GMT_THERM-16BIT.PNG,79610.0,Animal,Ringed Seal,Likely,No,631,345,5822,2246,6334,2758,6051,2479,6110,2526,True,none
-1,CHESS2016_N94S_FL12_C__20160421234142.337GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421234142.337GMT_THERM-16BIT.PNG,79612.0,Animal,Ringed Seal,100%,No,166,79,905,-24,1417,488,1164,259,1240,301,True,none
-1,CHESS2016_N94S_FL12_C__20160421234142.337GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421234142.337GMT_THERM-16BIT.PNG,79613.0,Animal,Ringed Seal,100%,No,135,104,542,266,1054,778,837,518,908,558,True,none
-1,CHESS2016_N94S_FL12_C__20160421234241.897GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421234241.897GMT_THERM-16BIT.PNG,79614.0,Animal,Ringed Seal,100%,No,567,261,5192,1528,5704,2040,5429,1743,5469,1823,True,none
-1,CHESS2016_N94S_FL12_C__20160421234312.268GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421234312.268GMT_THERM-16BIT.PNG,79615.0,Animal,Ringed Seal,Likely,No,132,439,508,3259,1020,3771,757,3477,790,3544,True,none
-1,CHESS2016_N94S_FL12_C__20160421234545.089GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421234545.089GMT_THERM-16BIT.PNG,79616.0,Animal,Ringed Seal,Guess,No,609,99,5680,216,6192,728,5928,437,5957,499,True,none
-1,CHESS2016_N94S_FL12_C__20160421234756.598GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421234756.598GMT_THERM-16BIT.PNG,79617.0,Animal,Ringed Seal,Likely,No,515,99,4684,274,5196,786,4897,527,4972,560,True,none
-1,CHESS2016_N94S_FL12_C__20160421234756.598GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421234756.598GMT_THERM-16BIT.PNG,79618.0,Animal,Ringed Seal,Likely,No,504,102,4565,323,5077,835,4808,549,4841,611,True,none
-1,CHESS2016_N94S_FL12_C__20160421234757.439GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421234757.439GMT_THERM-16BIT.PNG,79619.0,Animal,Ringed Seal,Likely,No,535,416,4902,3316,5414,3828,5133,3547,5210,3588,True,none
-1,CHESS2016_N94S_FL12_C__20160421234757.439GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421234757.439GMT_THERM-16BIT.PNG,79620.0,Animal,Ringed Seal,Likely,No,524,419,4804,3344,5316,3856,5042,3572,5081,3640,True,none
-1,CHESS2016_N94S_FL12_C__20160421234818.291GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421234818.291GMT_THERM-16BIT.PNG,79621.0,Duplicate,Ringed Seal,Likely,No,450,103,3978,338,4490,850,4214,577,4274,623,True,bad_res
-1,CHESS2016_N94S_FL12_C__20160421234819.118GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421234819.118GMT_THERM-16BIT.PNG,79622.0,Animal,Ringed Seal,Likely,No,472,416,4300,3442,4812,3954,4486,3681,4538,3717,True,none
-1,CHESS2016_N94S_FL12_C__20160422005423.673GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160422005423.673GMT_THERM-16BIT.PNG,79651.0,Animal,Ringed Seal,100%,No,494,200,4504,1429,5016,1941,4747,1658,4799,1713,True,none
-1,CHESS2016_N94S_FL12_C__20160422005901.997GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160422005901.997GMT_THERM-16BIT.PNG,79653.0,Animal,Ringed Seal,100%,No,578,311,5419,2719,5931,3231,5640,3005,5717,3042,True,none
